common-name,species,region,size,flower-color,flower-time,fruit,evergreen,xeric,comment
"Tall Oregon-grape, Shining Oregon-grape",Berberis aquifolium,"L, W",up to 8 ft,yellow,spring,yes,yes,moderately,"Beautiful, shiny, evergreen leaves turn a shade of maroon over the winter.  This plant can make a very effective screen in time.  Berries are edible and quite sour.  The one drawback is that the leaves are very prickly."
"Desert Sweet, Fernbush",Chamaebatiaria millefolium,W,4 - 6 ft.,white,Summer,,semi-evergreen,very,"Fragrant foliage, very pretty spikes of white flowers.  Native to Idaho & Oregon southward, in lava fields."
Gray Rabbitbrush,Chrysothamnus nauseosus,"L, R, W",2-4 ft.,yellow ,Late summer,,semi-evergreen,very,"For most of the year, rabbitbrush's gray foliage looks like sagebrush.  In late summer into fall, it blooms yellow and provides nectar & pollen late in the season."
Red-osier Dogwood,Cornus sericea,L,6 - 10 ft.,white,spring,yes,no,no,Year-round interest: fall and winter color.  Fruits for the birds. Spring flowers.
Apache Plume,Fallugia paradoxa,W,4 - 6 ft.,white,Summer,yes,semi-evergreen,very,Blooms & fruits all summer into fall.  Hardy - native to Idaho & Oregon southward.  Light winter pruning to remove old seed heads gives better appearance.
Crimsoneyed Rosemallow ,Hibiscus moscheutos,Eastern,6',Rose pink,Summer,no,no,not at all,"This beautiful, large flowered hibiscus is an herbaceous perennial that dies back to the ground in the fall. Native to the entire east coast and the southern midwest.  Hardy and worth growing in a sunny, sheltered, well-watered spot."
Ninebark,Physocarpus malvaceus,L,4 - 6 ft.,White,spring,,no,yes,"Great spring flowers, fall color.  Will go dormant if too dry."
Bitterbrush,Purshia tridentata,"L, R, W","2 - 6 ft. tall, occasionally taller",yellow,spring,dry capsule,yes,very,"Native to drylands from British Columbia south to California, this rose relative has small fragrant yellow flowers in the spring.  It has the potential for use as a living snow fence, roadside beautification, and xeriscape plantings."
Threeleaf sumac,Rhus trilobata,"W, M",5-6 ft.,inconspicuous,early spring,yes,no,yes,"Outstanding fall color.  Honeybee plant in spring.  Deer proof.  Berries for birds.  Good specimen, screen or hedge shrub.  Sun to part shade."
Golden Currant,Ribes aureum,L,6 - 8 ft.,"yellow, fragrant",spring,yes,no,moderately,"Tall shrub with three season interest:  yellow flowers in spring, tasty orange fruit in summer, good fall colors.  Attracts birds and bees."
Red flowering currant,Ribes sanguineum,"R, W",6 ft.,pink,spring,yes,no,moderately,"This Pacific Northwest native is covered with pink flowers in the spring.  Fall foliage is amazing with shades of red, purple, yellow and orange.    Moderate water use: tolerates some drought.  Full sun - partial shade. Zone 5."
Snowberry,Symphoricarpos albus,L,About 4 ft.,white to pale pink,spring,yes,,very,"Drought tolerant, white berries for birds."