common-name,species,region,height,flower-color,flower-time,fruit,evergreen,xeric,comment
Serviceberry,Amelanchier alnifolia,L,shrub,white,spring,yes,no,yes,"Attracts birds, tasty fruit. Widely available.  Choice cultivars available."
"Tall Oregon-grape, Shining Oregon-grape",Berberis aquifolium,"L, W",up to 8 ft,yellow,spring,yes,yes,moderately,"Beautiful, shiny, evergreen leaves turn a shade of maroon over the winter.  This plant can make a very effective screen in time.  Berries are edible and quite sour.  The one drawback is that the leaves are very prickly."
"Fernbush, Sweetshrub",Chamaebatiaria millefolium,W,6-8 ft,white,summer,no,somewhat,very,"This little known Western native is excellent for use as a specimen or in groups for screening and hedges. The showy flower spikes resemble those of white lilacs, blooming in the summer. "
Black Hawthorne,Crataegus douglasii,L,10 - 15 feet,white,spring,yes,no,somewhat,"Very important to birds.  Magpies and orioles nest in it. Plentiful, large black fruits are important bird food.  Good tall barrier hedge species if unpruned.  Can be pruned to an attractive landscape shrub."
Beauty Bush,Kolkwitzia amabilis,I,6 - 10 ft,pink,late spring,dry capsule,no,moderately,"Deciduous shrub that typically grows 6-10’ tall with an arching, vase-shaped habit. Bell-shaped, pink flowers with yellow throats appear in clusters in a profuse late spring bloom.  Shredding bark provides winter interest.  Specimen or hedge.  Hummingbirds, butterflies & bees like it.   "
Mockorange,Philadelphus lewisii,"L, R, W",5-10 ft. tall,white,late spring,dry capsule,no,somewhat,"Deciduous, multi-stemmed shrub with long, arching branches. Grows 4-6 ft., sometimes taller, with an abundance of richly-fragrant pure white blossoms in the late spring/early summer."
Chokecherry,Prunus virginiana,L,Variable.  Can be tree form.,white,spring,yes,no,yes,"Very showy flower spikes.  Fruit great for birds.  Used for jellies, wines & beers.  Tree form where very well watered.  Cultivars available."
Golden Currant,Ribes aureum,L,6 - 8 ft.,yellow,spring,yes,no,somewhat,"Tall shrub with three season interest:  fragrant yellow flowers in spring, tasty orange fruit in summer, good fall colors.  Attracts birds and bees."
Blue elderberry,Sambucus caerulea,W,Up to 13 ft.,white,spring,yes,no,"once established, fairly xeric","Native from BC to CA & TX. .  Large, rounded shrub up to 13 feet tall and 6 ½ to 8 feet wide.  Attractive flowers and edible fruit for wildlife or jelly or juice.  Good as part of a visual, noise or privacy screen.  Grows in moist to fairly dry areas along watercourses, in gullies and in open forests. "
Russet Buffaloberry,Shepherdia canadensis,*,3-13 ft,inconspicuous,spring,yes,no,no,"*Native to all of North America except the SE and southern midwest. Many traditional uses.  Shade tolerant, and prefers somewhat moist soil. Nitrogen fixer."
Highbush cranberry,Viburnum edule,"W, *",Up to 12 ft.,White,spring,yes,no,no,"* Grows throughout Canada and the northern tier of US states.  Shrub from moist sites with bright red, tart berries and crimson fall color"